addr,clCd,clCdNm,cmdcGdrCnt,cmdcIntnCnt,cmdcResdntCnt,cmdcSdrCnt,detyGdrCnt,detyIntnCnt,detyResdntCnt,detySdrCnt,drTotCnt,emdongNm,estbDd,hospUrl,mdeptGdrCnt,mdeptIntnCnt,mdeptResdntCnt,mdeptSdrCnt,pnursCnt,postNo,sgguCd,sgguCdNm,sidoCd,sidoCdNm,telno,XPos,YPos,yadmNm,ykiho
"서울특별시 구로구 공원로8길 23, 2,3층 (구로동)",31,의원,0,0,0,0,0,0,0,0,1,구로동,20220927,,1,0,0,0,0,8289,110005,구로구,110000,서울,02-855-1380,126.89056,37.5033587,구로제일의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxOTYxIzIxIyQxIyQ5IyQ3MiQzNjEwMDIjNTEjJDEjJDIjJDgz
"서울특별시 구로구 구로동로 118, 2층 (구로동)",31,의원,0,0,0,0,0,0,0,0,1,구로동,20040915,,0,0,0,1,0,8315,110005,구로구,110000,서울,02-853-7555,126.8846868,37.489027,구로제일정형외과의원,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQyIyQ3IyQwMCQ0NjEwMDIjODEjJDEjJDIjJDgz
"서울특별시 구로구 구로동로 188, (구로동)",31,의원,0,0,0,0,0,0,0,0,1,구로동,20160308,http://www.centerclinic.co.kr,0,0,0,1,0,8285,110005,구로구,110000,서울,02-857-1189,126.8829476,37.4954266,구로중앙외과의원,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzUxIyQxIyQ1IyQwMyQ0NjEwMDIjNjEjJDEjJDgjJDgz
"서울특별시 구로구 도림로 67, (구로동,2층)",31,의원,0,0,0,0,0,0,0,0,1,구로동,20100414,,0,0,0,1,0,8313,110005,구로구,110000,서울,02-3281-7417,126.8910281,37.4895188,구로튼튼의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzQxIyQxIyQ3IyQ4MiQyNjE0ODEjNjEjJDEjJDAjJDgz
"서울특별시 구로구 남부순환로97길 3, KS프리미어빌딩 201호 (개봉동)",31,의원,0,0,0,0,0,0,0,0,1,개봉동,20231113,,0,0,0,1,0,8328,110005,구로구,110000,서울,02-2060-6001,126.8582496,37.4940221,구로항유외과의원,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzIxIyQxIyQxIyQ4OSQ0NjEwMDIjNzEjJDEjJDgjJDgz
"서울특별시 구로구 구로동로 179, (구로동)",31,의원,0,0,0,0,0,0,0,0,1,구로동,19920406,,0,0,0,1,0,8282,110005,구로구,110000,서울,02-864-2559,126.8826004,37.4943967,구로현대의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzExIyQxIyQzIyQ4OSQyNjEyMjIjODEjJDEjJDIjJDgz
"서울특별시 강남구 논현로 841, (신사동, 제이비 미소빌딩, 206호 일부)",31,의원,0,0,0,0,0,0,0,0,1,신사동,20170810,,1,0,0,0,0,6031,110001,강남구,110000,서울,02-1544-6378,127.027762,37.5240297,구름의자의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzExIyQxIyQ3IyQ3MiQ0NjEwMDIjNjEjJDEjJDAjJDgz
"서울특별시 은평구 서오릉로 204, 2층 (갈현동)",31,의원,0,0,0,0,0,0,0,0,1,갈현동,20020809,,0,0,0,1,0,3325,110015,은평구,110000,서울,02-388-0270,126.911354,37.6142068,구민내과의원,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzIxIyQxIyQ5IyQwMyQyNjE4MzIjNTEjJDEjJDIjJDgz
"서울특별시 은평구 서오릉로 145, 상원빌딩 2층 의원1,의원2호 (구산동)",31,의원,0,0,0,0,0,0,0,0,1,구산동,20250415,,0,0,0,1,0,3412,110015,은평구,110000,서울,02-357-9393,126.9164939,37.6112912,구산메트로정형외과의원,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMTkxIzExIyQxIyQ3IyQ4OSQzNjEyMjIjNDEjJDEjJDgjJDgz
"서울특별시 은평구 통일로 683-1, (녹번동)",31,의원,0,0,0,0,0,0,0,0,1,녹번동,19980306,,0,0,0,1,0,3382,110015,은평구,110000,서울,02-355-7253,126.9324985,37.6072529,구세산부인과의원,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzIxIyQxIyQxIyQ4MiQyNjE0ODEjNTEjJDEjJDIjJDgz
