목적구,행정동,콜택시_목적지_건수,병원,보건소,보건지소,상급종합병원,요양병원,의원,정신병원,종합병원,한의원,P1_의료기관_합계,P2_의료기관_합계,의료기관_총수,병원급_총수(의원/한의원제외),병상보고기관수,중환자실병상수,격리병실병상수,총병상수,그룹1_총수,그룹2_총수,의사수_총합,기관당_평균의사수
영등포구,신길6동,1796,1,0,0,0,0,29,0,0,8,30,8,38,1,0.0,0.0,0.0,0.0,0,1,7.0,7.0
영등포구,신길7동,1046,0,0,0,0,1,6,0,0,3,7,3,10,1,0.0,0.0,0.0,0.0,0,1,5.0,5.0
영등포구,양평1동,2221,1,0,0,0,0,6,0,0,6,7,6,13,1,0.0,0.0,0.0,0.0,0,1,21.0,21.0
영등포구,양평2동,2010,0,0,0,0,2,8,0,0,7,10,7,17,2,0.0,0.0,0.0,0.0,0,2,10.0,5.0
영등포구,여의동,14308,0,0,0,0,0,117,0,1,30,118,30,148,1,1.0,30.0,1.0,31.0,0,1,191.0,191.0
영등포구,영등포동,12158,4,0,0,0,2,65,0,2,19,73,19,92,8,3.0,12.0,45.0,57.0,0,8,137.0,17.125
영등포구,영등포본동,1501,0,0,0,0,0,13,0,0,5,13,5,18,0,0.0,0.0,0.0,0.0,0,0,0.0,
용산구,남영동,3791,0,0,0,0,0,22,0,0,4,22,4,26,0,0.0,0.0,0.0,0.0,0,0,0.0,
용산구,보광동,519,0,0,0,0,0,5,0,0,2,5,2,7,0,0.0,0.0,0.0,0.0,0,0,0.0,
용산구,서빙고동,1723,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,
용산구,용문동,1026,0,0,0,0,0,2,0,0,6,2,6,8,0,0.0,0.0,0.0,0.0,0,0,0.0,
용산구,용산2가동,341,0,0,0,0,0,3,0,0,2,3,2,5,0,0.0,0.0,0.0,0.0,0,0,0.0,
용산구,원효로1동,1124,0,0,0,0,0,12,0,0,2,12,2,14,0,0.0,0.0,0.0,0.0,0,0,0.0,
용산구,원효로2동,1638,0,0,0,0,0,4,0,0,1,4,1,5,0,0.0,0.0,0.0,0.0,0,0,0.0,
용산구,이촌1동,2105,1,0,0,0,0,19,0,0,5,20,5,25,1,0.0,0.0,0.0,0.0,0,1,10.0,10.0
용산구,이촌2동,505,0,0,0,0,0,0,0,0,1,0,1,1,0,0.0,0.0,0.0,0.0,0,0,0.0,
용산구,이태원1동,711,0,1,0,0,0,9,0,0,0,9,1,10,1,0.0,0.0,0.0,0.0,1,0,9.0,9.0
용산구,이태원2동,80,0,0,0,0,0,6,0,0,3,6,3,9,0,0.0,0.0,0.0,0.0,0,0,0.0,
용산구,청파동,2159,0,0,0,0,0,9,0,0,7,9,7,16,0,0.0,0.0,0.0,0.0,0,0,0.0,
