목적구,행정동,콜택시_의료목적지_건수,병원,보건소,보건지소,상급종합병원,요양병원,의원,정신병원,종합병원,한의원,P1_의료기관_합계,P2_의료기관_합계,의료기관_총수
용산구,원효로2동,23,0,0,0,0,0,4,0,0,1,4,1,5
용산구,이촌1동,526,1,0,0,0,0,19,0,0,5,20,5,25
용산구,이태원1동,1,0,1,0,0,0,9,0,0,0,9,1,10
용산구,이태원2동,1,0,0,0,0,0,6,0,0,3,6,3,9
용산구,청파동,19,0,0,0,0,0,9,0,0,7,9,7,16
용산구,한강로동,23,0,0,0,0,0,51,0,0,16,51,16,67
용산구,한남동,1005,0,0,0,0,0,21,0,1,5,22,5,27
용산구,효창동,148,0,0,0,0,0,7,0,0,3,7,3,10
용산구,후암동,111,0,0,0,0,0,6,0,0,6,6,6,12
은평구,갈현1동,136,0,0,0,0,1,27,0,1,7,29,7,36
은평구,갈현2동,43,1,0,0,0,0,14,0,0,4,15,4,19
은평구,구산동,1445,1,0,1,0,1,13,0,0,5,15,6,21
은평구,녹번동,375,2,1,0,0,1,12,0,0,11,15,12,27
은평구,대조동,76,2,0,0,0,0,60,0,0,21,62,21,83
은평구,불광1동,229,1,0,0,0,1,39,0,0,17,41,17,58
은평구,불광2동,28,0,0,1,0,0,12,0,0,10,12,11,23
은평구,수색동,9,0,0,0,0,0,7,0,0,2,7,2,9
은평구,신사1동,123,0,0,0,0,0,19,0,0,8,19,8,27
은평구,신사2동,201,0,0,0,0,0,7,0,0,3,7,3,10
은평구,역촌동,1686,2,0,0,0,0,19,0,0,16,21,16,37
은평구,응암1동,182,1,0,0,0,1,44,0,0,13,46,13,59
은평구,응암2동,30,0,0,0,0,0,7,1,0,4,7,5,12
은평구,응암3동,67,1,0,1,0,0,23,0,0,13,24,14,38
은평구,증산동,162,0,0,0,0,0,10,0,0,6,10,6,16
은평구,진관동,1110,0,0,0,0,0,34,0,1,18,35,18,53
종로구,가회동,1,0,0,0,0,0,0,0,0,5,0,5,5
종로구,교남동,1189,0,0,0,1,0,11,0,1,6,13,6,19
종로구,무악동,101,0,0,0,0,0,1,0,1,0,2,0,2
종로구,부암동,2,0,0,0,0,0,1,0,0,2,1,2,3
종로구,사직동,16,0,0,0,0,1,35,0,0,14,36,14,50
종로구,숭인1동,6,0,0,0,0,0,6,0,0,3,6,3,9
종로구,숭인2동,42,1,0,0,0,0,11,0,0,3,12,3,15
종로구,이화동,3156,0,0,0,1,0,6,0,0,1,7,1,8
종로구,종로1.2.3.4가동,41,1,0,0,0,0,61,0,0,28,62,28,90
종로구,종로5.6가동,14,0,0,0,0,0,27,0,0,24,27,24,51
종로구,창신1동,19,0,0,0,0,0,21,0,0,5,21,5,26
종로구,창신2동,10,0,0,0,0,0,5,0,0,3,5,3,8
종로구,청운효자동,176,0,1,0,0,0,3,0,0,2,3,3,6
종로구,평창동,122,1,0,0,0,0,5,0,0,5,6,5,11
종로구,혜화동,120,0,0,0,0,0,12,0,0,6,12,6,18
중구,광희동,773,0,0,0,0,0,19,0,1,4,20,4,24
중구,다산동,21,1,0,0,0,0,20,0,0,7,21,7,28
중구,동화동,15,0,0,0,0,0,5,0,0,3,5,3,8
중구,명동,42,0,0,0,0,0,124,0,0,25,124,25,149
중구,소공동,133,0,0,0,0,0,29,0,0,10,29,10,39
중구,신당5동,59,0,0,0,0,0,13,0,0,8,13,8,21
중구,신당동,39,1,1,0,0,0,8,0,0,1,9,2,11
중구,신흥동,5,0,0,0,0,0,0,0,0,0,0,0,0
중구,약수동,203,1,0,0,0,0,21,0,0,7,22,7,29
중구,영종동,2,0,0,0,0,0,0,0,0,0,0,0,0
중구,율목동,49,0,0,0,0,0,0,0,0,0,0,0,0
중구,을지로동,25,0,0,0,0,0,14,0,0,6,14,6,20
중구,중림동,75,0,0,0,0,0,8,0,0,5,8,5,13
중구,청구동,12,0,0,0,0,0,4,0,0,1,4,1,5
중구,필동,8,0,0,0,0,0,9,0,0,4,9,4,13
중구,황학동,21,0,0,0,0,0,15,0,0,5,15,5,20
중구,회현동,41,0,0,0,0,0,34,0,0,12,34,12,46
중랑구,망우3동,11,1,0,0,0,0,5,0,0,6,6,6,12
중랑구,망우본동,614,5,0,0,0,0,39,1,1,16,45,17,62
중랑구,면목2동,37,2,0,0,0,0,10,0,0,6,12,6,18
중랑구,면목4동,5,0,0,0,0,0,2,0,0,4,2,4,6
중랑구,면목5동,3,0,0,0,0,0,2,0,0,0,2,0,2
중랑구,면목7동,33,1,0,0,0,0,35,0,0,11,36,11,47
중랑구,면목본동,36,0,0,0,0,0,34,0,0,16,34,16,50
중랑구,면목제3.8동,673,0,0,0,0,0,17,0,1,4,18,4,22
중랑구,묵1동,156,2,0,0,0,0,16,0,0,7,18,7,25
중랑구,묵2동,151,0,0,0,0,0,14,0,0,7,14,7,21
중랑구,상봉1동,95,0,0,0,0,0,12,0,0,5,12,5,17
중랑구,상봉2동,409,1,0,0,0,1,34,0,0,9,36,9,45
중랑구,신내1동,2061,0,0,0,0,0,16,0,1,9,17,9,26
중랑구,신내2동,99,0,1,0,0,1,15,0,0,6,16,7,23
중랑구,중화1동,155,1,0,0,0,0,10,0,0,5,11,5,16
중랑구,중화2동,91,0,0,0,0,0,19,0,0,9,19,9,28
