사용월,노선명,역명,역명정규화,station_key,운행엘리베이터보유여부,운행엘리베이터수,엘리베이터연결층,엘리베이터설치위치,운행휠체어리프트보유여부,운행휠체어리프트수,휠체어리프트운행구간,휠체어리프트설치위치,안전발판보유여부,안전발판수,휠체어접근가능화장실보유여부,장애인화장실설치위치,장애인화장실층
2025-12,7호선,학동,학동,7호선|학동,1,3,1 | 지하B2→지하B3 | 강남구청 방면4-4; 2 | 지하B2→지하B3 | 논현 방면5-1; 3 | 지하B2→지상1 | 3번 출입구,강남구청 방면4-4; 논현 방면5-1; 3번 출입구,0,0,없음,없음,0,0,1,"B2 1,2번 출입구 계단 옆",B3
2025-12,8호선,가락시장,가락시장,8호선|가락시장,1,6,"1 | 지하B2→지하B1 | 송파 방면5-4; 2 | 지하B2→지하B1 | 문정 방면2-3; 3 | 지하B3→지하B2 | 암사 방면6-4; 4 | 지하B3→지하B2 | 환승통로(문정 방면1-1); 5 | 지하B2→지상1 | 1,2번 출입구 사이; 6 | 지하B1→지상1 | 3,4번 출입구 사이","송파 방면5-4; 문정 방면2-3; 암사 방면6-4; 환승통로(문정 방면1-1); 1,2번 출입구 사이; 3,4번 출입구 사이",0,0,없음,없음,0,0,1,B1층 대합실과 가락몰 연결통로 사이,B1
2025-12,8호선,남한산성입구(성남법원.검찰청),남한산성입구(성남법원.검찰청),8호선|남한산성입구(성남법원.검찰청),1,2,1 | 지하B2→지하B3 | 산성 방면3-4; 2 | 지하B3→지상1 | 단대오거리 방면4-1,산성 방면3-4; 단대오거리 방면4-1,0,0,없음,없음,0,0,1,대합실 지하2층 에스컬레이터 근처,B2
2025-12,8호선,단대오거리,단대오거리,8호선|단대오거리,1,3,1 | 지하B3→지하B1 | 남한산성입구 방면2-4; 2 | 지하B3→지하B1 | 신흥 방면5-1; 3 | 지하B1→지상1 | 4번 출입구,남한산성입구 방면2-4; 신흥 방면5-1; 4번 출입구,0,0,없음,없음,1,1,1,대합실 지하1층 2호기E/V 옆,B1
2025-12,8호선,모란,모란,8호선|모란,1,3,1 | 지하B3→지하B1 | 수진 방면5-2; 2 | 지하B3→지하B2 | 모란 방면2-3; 3 | 지하B1→지상1 | 11번 출입구,수진 방면5-2; 모란 방면2-3; 11번 출입구,0,0,없음,없음,1,1,1,B2층 대합실 상행 E/S 옆,B2
2025-12,8호선,몽촌토성(평화의문),몽촌토성(평화의문),8호선|몽촌토성(평화의문),1,4,"1 | 지하B3→지하B2 | 강동구청 방면3-4; 2 | 지하B3→지하B2 | 잠실 방면3-4; 3 | 지하B2→지하B1 | 대합실; 4 | 지하B1→지상1 | 대합실(B1, 4번 출입구 화장실 앞)","강동구청 방면3-4; 잠실 방면3-4; 대합실; 대합실(B1, 4번 출입구 화장실 앞)",0,0,없음,없음,1,1,1,"대합실 B1층 1,2,3번 출입구 방향",B1
2025-12,8호선,문정,문정,8호선|문정,1,4,4 | 지하B1→지상1 | 4번 출입구; 1 | 지하B2→지하B1 | 가락시장 방면3-4; 2 | 지하B2→지하B1 | 장지 방면4-1; 3 | 지하B1→지상1 | 2번 출입구,4번 출입구; 가락시장 방면3-4; 장지 방면4-1; 2번 출입구,0,0,없음,없음,0,0,1,대합실 B1층 2번 출입구 방향,B1
2025-12,8호선,복정,복정,8호선|복정,1,2,"2 | 지하B1→지상1 | 1번 출입구; 1 | 지하B3→지하B1 | 장지 방면3-4, 남위례 방면3-4","1번 출입구; 장지 방면3-4, 남위례 방면3-4",0,0,없음,없음,0,0,1,대합실 지하1층 아이센터 근처,B1
2025-12,8호선,석촌,석촌,8호선|석촌,1,3,3 | 지하B1→지상1 | 1번 출입구; 1 | 지하B2→지하B1 | 암사 방면3-4; 2 | 지하B2→지하B1 | 모란 방면 3-4,1번 출입구; 암사 방면3-4; 모란 방면 3-4,0,0,없음,없음,0,0,1,대합실 B1층 개집표기 옆,B1
2025-12,8호선,송파,송파,8호선|송파,1,4,"3 | 지하B1→지상1 | 1,2번 출입구 사이; 1 | 지하B2→지하B1 | 가락시장 방면 3-4,4-1 사이; 2 | 지하B2→지하B1 | 석촌 방면3-4; 4 | 지하B1→지상1 | 4번 출입구","1,2번 출입구 사이; 가락시장 방면 3-4,4-1 사이; 석촌 방면3-4; 4번 출입구",0,0,없음,없음,0,0,1,대합실 B1층 1번 출입구 방향,B1
2025-12,8호선,수진,수진,8호선|수진,1,3,1 | 지하B2→지하B1 | 신흥 방면3-4; 2 | 지하B2→지하B1 | 모란 방면4-1; 3 | 지하B1→지상1 | 3번 출입구,신흥 방면3-4; 모란 방면4-1; 3번 출입구,0,0,없음,없음,0,0,1,대합실 지하1층 편의점 옆,B1
2025-12,8호선,신흥,신흥,8호선|신흥,1,2,1 | 지하B2→지하B1 | 단대오거리 방면4-1; 2 | 지하B2→지하B1 | 수진 방면3-4,단대오거리 방면4-1; 수진 방면3-4,0,0,없음,없음,0,0,1,"B1층 대합실 1,2번 출입구방면",B1
2025-12,8호선,잠실(송파구청),잠실(송파구청),8호선|잠실(송파구청),1,3,1 | 지하B3→지하B1 | 몽촌토성 방면2-3; 2 | 지하B3→지하B1 | 석촌 방면5-2; 3 | 지하B1→지상1 | 9번 출입구,몽촌토성 방면2-3; 석촌 방면5-2; 9번 출입구,0,0,없음,없음,1,1,1,B1층 11번 출입구 옆,B1
2025-12,8호선,장지,장지,8호선|장지,1,4,1 | 지하B2→지하B1 | 문정 방면4-1; 2 | 지하B2→지하B1 | 복정 방면3-4; 3 | 지하B1→지상1 | 1번 출입구; 4 | 지하B1→지상1 | 3번 출입구,문정 방면4-1; 복정 방면3-4; 1번 출입구; 3번 출입구,0,0,없음,없음,0,0,1,"대합실 B1층 3,4번 출입구 방면",B1
